Anime Title,entry_id,entry_type,english_name,japanese_name,tmdb_id,anilist_id,Avg. Words/Episode,Unique Words,Kanji Difficulty (1-100),Vocab Difficulty (1-100),Overall Difficulty (1-100),Vocab Density (%),poster_url,episodes,status,genres,start_year,average_score,anilist_img_filename,anilist_status,tmdb_img_filename
Juushinki Pandora,142.0,anime_tv,LAST HOPE,重神機パンドーラ,,100341.0,763,4905,46.4,13.2,29.8,4.26,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx100341-0fgk2fX8hc79.jpg,26.0,FINISHED,"Mecha, Sci-Fi",2018.0,58.0,nx100341-0fgk2fX8hc79.jpg,downloaded,
Bishoujo Senshi Sailor Moon S,4400.0,anime_tv,Sailor Moon S,美少女戦士セーラームーン S,,532.0,369,2631,23.9,10.2,17.1,3.37,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx532-D6yrPcsSxhSE.jpg,38.0,FINISHED,"Action, Adventure, Drama, Fantasy, Mahou Shoujo, Romance",1994.0,78.0,bx532-D6yrPcsSxhSE.jpg,downloaded,
SR Saitama no Rapper. Mike no Hosomichi,3879.0,drama_tv,SR Saitama's Rapper: Mike's Lane,SRサイタマノラッパー～マイクの細道～,,,428,1516,27.0,14.7,20.8,4.68,,,,,,,,not_anilist,
Kamen Rider Ghost,,,,,,,388,2916,28.4,11.7,20.1,3.81,,,,,,,,not_anilist,
Tari Tari,,,,,,,359,1862,32.6,14.0,23.3,4.48,,,,,,,,not_anilist,
Totto-chan!,3936.0,drama_tv,Totto-chan!,トットちゃん!,,,326,3438,34.6,12.0,23.3,3.91,,,,,,,,not_anilist,
Mahou Shoujo Lyrical Nanoha Reflection,,,,,,,2099,911,40.4,9.6,25.0,3.19,,,,,,,,not_anilist,
ONE PIECE FILM. STRONG WORLD,3423.0,anime_movie,One Piece Film: Strong World,ONE PIECE FILM STRONG WORLD,,4155.0,1428,763,23.1,16.9,20.0,5.32,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx4155-P5TDf6t6qFwX.png,1.0,FINISHED,"Action, Adventure, Comedy, Drama, Fantasy",2009.0,78.0,bx4155-P5TDf6t6qFwX.png,downloaded,
Saraba Natsu no Hikari yo,6593.0,drama_movie,Light and Shade of Youth,さらば夏の光よ,movie:613453,,1280,588,27.1,15.0,21.0,4.77,https://image.tmdb.org/t/p/w500/eWmhzglJSHt827QgkLoZe2Cav7p.jpg,1.0,FINISHED,Drama,1976.0,,,not_anilist,eWmhzglJSHt827QgkLoZe2Cav7p.jpg
Bakemono no Ko,1829.0,anime_tv,The Boy and The Beast,バケモノの子,,20981.0,2225,1000,25.3,18.3,21.8,5.73,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20981-D6PAJAOC4jPc.jpg,1.0,FINISHED,"Action, Adventure, Comedy, Drama, Fantasy, Supernatural",2015.0,79.0,bx20981-D6PAJAOC4jPc.jpg,downloaded,
Naniwa Chuushingura,7224.0,drama_movie,,なにわ忠臣蔵,movie:1155253,,1434,666,27.9,19.9,23.9,6.21,https://image.tmdb.org/t/p/w500/gqYYrVEyTTwdnGtcDA0B1BduP8u.jpg,1.0,FINISHED,,1997.0,,,not_anilist,gqYYrVEyTTwdnGtcDA0B1BduP8u.jpg
Yo nimo Kimyou na Monogatari ’24 Natsu no Tokubetsu-hen,7182.0,drama_movie,Tales of the Bizarre: 2024 Summer Special,世にも奇妙な物語 '24夏の特別編,movie:1308067,,2068,763,36.4,15.5,25.9,4.91,https://image.tmdb.org/t/p/w500/fhzHRnqkIaZPKiyndxKiRblAVdX.jpg,1.0,FINISHED,"Fantasy, Mystery, Horror, TV Movie",2024.0,,,not_anilist,fhzHRnqkIaZPKiyndxKiRblAVdX.jpg
Wakamonotachi,10789.0,drama_movie,Young People,若者たち,movie:951816,,2137,789,35.8,20.3,28.1,6.32,https://image.tmdb.org/t/p/w500/fImfRTiOLAZuoYUKHlXRplnhRAd.jpg,1.0,FINISHED,Drama,1968.0,,,not_anilist,fImfRTiOLAZuoYUKHlXRplnhRAd.jpg
Dr. STONE. Ryuusui,3681.0,anime_tv,Dr. STONE Special Episode – RYUSUI,Dr.STONE 龍水,,142876.0,1507,721,37.7,19.1,28.4,5.97,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx142876-izO35hPP2DZ9.jpg,1.0,FINISHED,"Action, Adventure, Comedy, Sci-Fi",2022.0,81.0,bx142876-izO35hPP2DZ9.jpg,downloaded,
Legal High Special,5161.0,drama_movie,Legal High SP,リーガル・ハイ スペシャル,movie:356255,,3330,1305,51.9,14.7,33.3,4.68,https://image.tmdb.org/t/p/w500/1vtuBs3ZbRlUkTh4YBDf1j5YwTk.jpg,1.0,FINISHED,"Drama, Comedy, TV Movie",2013.0,80.0,,not_anilist,1vtuBs3ZbRlUkTh4YBDf1j5YwTk.jpg
Yakitori,3987.0,anime_tv,Yakitori: Soldiers of Misfortune,ヤキトリ,,163138.0,721,1735,45.7,20.2,33.0,6.29,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx163138-onxxW5if16F1.jpg,6.0,FINISHED,"Action, Sci-Fi",2023.0,59.0,bx163138-onxxW5if16F1.jpg,downloaded,
Private Banker,8482.0,drama_tv,Private Banker,プライベートバンカー,tv:278922,,1285,2578,37.1,17.7,27.4,5.55,https://image.tmdb.org/t/p/w500/jhWZpJnfWLl4j0U1jkdgvdtnJM4.jpg,9.0,FINISHED,Drama,2025.0,70.0,,not_anilist,jhWZpJnfWLl4j0U1jkdgvdtnJM4.jpg
Great Gift,4730.0,drama_tv,Great Gift,グレイトギフト,tv:241194,,1357,2599,46.8,19.0,32.9,5.92,https://image.tmdb.org/t/p/w500/58aCpTbKaiTPYD9TVZs4vyxSion.jpg,10.0,RELEASING,"Mystery, Crime",2024.0,70.0,,not_anilist,58aCpTbKaiTPYD9TVZs4vyxSion.jpg
Dr. STONE. STONE WARS,3678.0,anime_tv,Dr. STONE: STONE WARS,Dr.STONE STONE WARS,,113936.0,513,1892,36.9,17.6,27.2,5.53,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx113936-D4eYd4XwslVI.jpg,11.0,FINISHED,"Action, Adventure, Comedy, Sci-Fi",2021.0,81.0,bx113936-D4eYd4XwslVI.jpg,downloaded,
